ra,iaa_autoavaliacao,ida_desempenho_academico,ieg_engajamento_atividades,ipp_psicopedagogicos,ian_adequacao_nivel,ips_aspectos_psicossociais,ipv_ponto_virada,inde_indice_desen_educacional,requer_psicologia,atingiu_pv,defasagem,ano_arquivo,risco
RA-1,8.3,4.0,4.1,,5.0,5.6,7.28,5.78,Requer avaliação,Não,-1.0,2022,0
RA-1,,,,,10.0,,,5.78,,,,2023,0
RA-1,,,0.0,,10.0,,,5.78,,,,2024,0
RA-10,8.3,4.1,5.2,,5.0,5.0,7.06,5.78,Requer avaliação,Não,-1.0,2022,0
RA-100,8.8,7.6,7.8,,10.0,5.0,7.25,7.62,Não indicado,Não,1.0,2022,0
RA-1000,8.5,7.0,9.4,6.25,10.0,3.77,8.92,,,,,2023,0
RA-1000,9.0,7.75,9.55,8.13,10.0,6.26,7.84,,,,,2024,0
RA-1001,9.0,7.8,9.1,7.5,5.0,7.52,9.17,,,,,2023,1
RA-1001,7.5,7.75,9.35,7.92,5.0,7.51,7.92,,,,,2024,0
RA-1002,9.0,7.0,9.7,6.25,5.0,7.52,8.92,,,,,2023,0
RA-1002,9.0,9.25,7.83,7.5,5.0,7.51,8.25,,,,,2024,0
RA-1003,9.0,4.0,8.5,7.5,10.0,7.52,8.75,,,,,2023,0
RA-1003,8.0,8.25,8.69,6.88,5.0,7.51,7.5,,,,,2024,0
RA-1004,9.0,7.9,9.6,6.88,10.0,7.52,7.42,,,,,2023,1
RA-1004,9.5,7.5,9.25,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1005,9.5,8.8,7.9,7.5,10.0,7.52,8.17,,,,,2023,0
RA-1006,9.0,8.7,9.3,7.5,10.0,7.52,8.0,,,,,2023,1
RA-1006,8.5,5.0,8.44,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1007,9.0,8.3,7.4,7.5,10.0,7.52,7.68,,,,,2023,0
RA-1008,9.0,8.4,8.6,5.94,10.0,7.52,7.5,,,,,2023,1
RA-1008,7.0,7.0,6.48,7.19,5.0,7.51,7.5,,,,,2024,0
RA-1009,0.0,8.8,9.0,7.5,10.0,3.77,7.84,,,,,2023,1
RA-1009,8.0,7.5,6.89,6.56,5.0,2.51,6.55,,,,,2024,0
RA-101,7.9,7.6,8.3,,5.0,7.5,6.83,7.31,Não atendido,Não,-1.0,2022,0
RA-1010,9.5,9.4,10.0,7.81,10.0,3.77,8.59,,,,,2023,0
RA-1011,9.5,5.2,8.6,7.19,10.0,3.77,7.68,,,,,2023,0
RA-1012,10.0,6.6,9.9,7.19,10.0,3.77,7.85,,,,,2023,0
RA-1012,9.5,9.75,9.52,8.13,5.0,2.51,8.44,,,,,2024,0
RA-1013,9.0,8.3,9.6,5.63,10.0,4.39,5.76,,,,,2023,1
RA-1013,9.0,7.75,5.69,5.0,5.0,2.51,4.72,,,,,2024,0
RA-1014,9.0,8.2,9.7,7.5,10.0,3.77,8.26,,,,,2023,1
RA-1014,8.5,5.25,7.89,6.88,5.0,2.51,7.0,,,,,2024,0
RA-1015,10.0,6.3,9.3,7.34,5.0,6.27,7.79,,,,,2023,1
RA-1015,7.92,4.0,7.82,6.04,10.0,7.51,5.66,,,,,2024,0
RA-1016,10.0,6.7,9.5,7.34,5.0,7.52,7.73,,,,,2023,0
RA-1017,0.0,7.7,8.0,7.5,5.0,5.02,8.12,,,,,2023,1
RA-1017,9.5,5.0,7.81,7.19,10.0,6.26,7.44,,,,,2024,0
RA-1018,0.0,6.3,8.5,7.5,10.0,5.02,8.06,,,,,2023,0
RA-1018,8.5,8.25,7.73,8.44,5.0,6.26,8.45,,,,,2024,0
RA-1019,7.5,4.3,9.1,6.88,10.0,5.02,7.84,,,,,2023,0
RA-1019,9.5,8.75,9.31,7.81,10.0,6.26,8.62,,,,,2024,0
RA-102,6.7,5.7,7.7,,10.0,6.9,6.0,6.92,Requer avaliação,Não,0.0,2022,0
RA-1020,10.0,6.1,9.1,7.19,10.0,2.52,8.06,,,,,2023,0
RA-1020,9.0,9.0,9.77,8.44,10.0,6.88,8.84,,,,,2024,0
RA-1021,8.0,3.3,9.2,7.19,10.0,3.77,7.89,,,,,2023,0
RA-1021,9.5,8.0,9.32,8.44,5.0,7.51,7.95,,,,,2024,0
RA-1022,8.5,4.7,8.5,7.19,10.0,3.77,7.89,,,,,2023,0
RA-1022,9.5,6.5,9.32,7.5,5.0,6.26,8.12,,,,,2024,0
RA-1023,10.0,9.1,10.0,8.75,10.0,6.27,9.06,,,,,2023,0
RA-1023,9.5,9.5,9.51,8.96,10.0,9.38,9.56,,,,,2024,0
RA-1024,0.0,9.8,10.0,9.22,5.0,6.27,8.95,,,,,2023,0
RA-1024,8.0,10.0,10.0,8.44,5.0,7.51,8.78,,,,,2024,0
RA-1025,8.5,7.5,8.9,7.66,10.0,7.52,7.84,,,,,2023,0
RA-1025,9.0,9.0,7.73,8.44,5.0,7.51,7.78,,,,,2024,0
RA-1026,8.5,3.2,9.8,6.41,2.5,7.52,7.06,,,,,2023,0
RA-1027,9.5,6.0,9.7,7.5,5.0,7.52,8.33,,,,,2023,1
RA-1027,9.5,5.25,10.0,7.92,10.0,7.51,8.39,,,,,2024,0
RA-1028,0.0,5.0,9.2,7.34,5.0,7.52,7.95,,,,,2023,0
RA-1028,8.0,7.5,7.06,6.88,5.0,5.63,8.39,,,,,2024,0
RA-1029,10.0,5.4,6.3,7.5,10.0,3.77,8.01,,,,,2023,0
RA-1029,9.0,8.75,8.8,7.5,5.0,6.89,7.25,,,,,2024,0
RA-103,7.9,7.3,8.7,,10.0,7.5,7.71,8.11,Não atendido,Não,1.0,2022,1
RA-103,8.3,7.1,9.2,8.13,10.0,5.0,8.09,8.11,,,,2023,0
RA-103,8.33,9.17,9.6,7.88,10.0,6.26,8.87,8.11,,,,2024,0
RA-1030,8.5,6.9,9.7,6.88,5.0,3.77,8.39,,,,,2023,0
RA-1030,7.42,8.0,8.28,7.81,10.0,4.39,7.61,,,,,2024,0
RA-1031,8.0,5.9,8.8,6.67,5.0,7.52,7.01,,,,,2023,0
RA-1031,9.5,6.25,8.64,5.31,5.0,7.51,5.83,,,,,2024,0
RA-1032,8.5,6.0,9.5,7.29,5.0,7.52,7.56,,,,,2023,0
RA-1032,8.5,8.0,9.75,7.81,5.0,7.51,7.92,,,,,2024,0
RA-1033,9.0,7.9,8.9,8.13,5.0,7.52,9.01,,,,,2023,0
RA-1034,7.5,8.3,9.0,8.33,5.0,7.52,8.39,,,,,2023,1
RA-1034,7.5,7.5,8.08,7.71,10.0,7.51,8.22,,,,,2024,0
RA-1035,0.0,5.8,8.3,7.71,10.0,7.52,7.78,,,,,2023,0
RA-1035,9.5,7.0,9.02,8.44,5.0,7.51,7.92,,,,,2024,0
RA-1036,0.0,8.0,9.6,9.06,5.0,3.77,8.34,,,,,2023,1
RA-1036,10.0,7.0,9.09,7.66,10.0,7.51,7.75,,,,,2024,0
RA-1037,9.0,6.7,8.4,8.59,5.0,7.52,8.17,,,,,2023,0
RA-1038,8.0,6.5,9.3,8.91,5.0,7.52,8.17,,,,,2023,0
RA-1038,8.0,8.5,7.54,7.5,10.0,7.51,7.27,,,,,2024,0
RA-1039,8.0,6.2,9.9,8.13,5.0,7.52,8.06,,,,,2023,0
RA-1039,8.0,7.25,9.72,7.5,5.0,7.51,6.77,,,,,2024,0
RA-104,7.9,3.7,8.7,,2.5,7.5,6.71,6.32,Não atendido,Não,-4.0,2022,1
RA-104,0.0,2.6,7.7,5.63,2.5,2.52,5.63,6.32,,,,2023,0
RA-1040,10.0,6.6,9.3,7.81,5.0,7.52,8.06,,,,,2023,0
RA-1040,9.5,8.25,8.54,7.5,5.0,7.51,7.27,,,,,2024,0
RA-1041,10.0,3.3,7.2,7.81,5.0,7.52,8.0,,,,,2023,0
RA-1042,0.0,4.3,6.5,7.71,5.0,3.77,7.67,,,,,2023,0
